Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,high_pollution,hour,dayofweek,month,is_weekend,is_rushhour
02/02/2005,21.00.00,4.1,0.45513280689160085,0.11346316680779,0.24251968503937008,0.42653508771929827,0.4692697035430224,0.10546378653113088,0.6333333333333333,0.289568345323741,0.6671012603215993,0.18494623655913978,0.38238993710691827,0.10316148103612405,1,0.9130434782608695,0.3333333333333333,0.09090909090909091,0.0,0.0
27/03/2004,09.00.00,1.8,0.3704235463029433,0.10160880609652836,0.13070866141732285,0.29002192982456143,0.08821402747650037,0.25412960609911056,0.24545454545454545,0.4401978417266187,0.37157757496740546,0.27956989247311825,0.519496855345912,0.24084372964577383,0,0.391304347826087,0.8333333333333334,0.18181818181818182,1.0,1.0
27/12/2004,03.00.00,0.6,0.16367552045944006,0.11346316680779,0.02047244094488189,0.08662280701754387,0.1301518438177874,0.3570520965692503,0.3242424242424242,0.2239208633093525,0.13211647109952196,0.2881720430107527,0.7320754716981133,0.3636955759306578,0,0.13043478260869565,0.0,1.0,0.0,0.0
13/05/2004,03.00.00,0.4,0.12060301507537688,0.11346316680779,0.01889763779527559,0.08114035087719298,0.1301518438177874,0.46166878441338416,0.3242424242424242,0.32419064748201437,0.0686657974793568,0.38494623655913973,0.559748427672956,0.3946089483441055,0,0.13043478260869565,0.5,0.36363636363636365,0.0,0.0
26/10/2004,14.00.00,4.5,0.6087580760947595,0.11346316680779,0.41259842519685036,0.5893640350877193,0.42733188720173537,0.054637865311308764,0.4696969696969697,0.670863309352518,0.6801390699695784,0.5763440860215053,0.49182389937106913,0.6560949947392153,1,0.6086956521739131,0.16666666666666666,0.8181818181818182,0.0,0.0
02/11/2004,18.00.00,7.9,0.7925340990667624,0.11346316680779,0.6913385826771653,0.8020833333333334,0.5661605206073753,0.015247776365946633,0.4696969696969697,0.8745503597122302,0.7787918296392873,0.5354838709677419,0.6654088050314466,0.7733854401523121,1,0.782608695652174,0.16666666666666666,0.9090909090909091,0.0,1.0
22/06/2004,12.00.00,3.1,0.353194544149318,0.11346316680779,0.2803149606299213,0.46600877192982454,0.16847433116413593,0.1609487505294367,0.42727272727272725,0.6245503597122302,0.3946110386788353,0.7096774193548387,0.2138364779874214,0.491006563455083,1,0.5217391304347826,0.16666666666666666,0.45454545454545453,0.0,0.0
20/02/2005,15.00.00,1.1,0.28356066044508255,0.11346316680779,0.04881889763779527,0.15405701754385964,0.1005061460592914,0.22829309614570098,0.3151515151515151,0.2189748201438849,0.1794871794871795,0.22150537634408604,0.6515723270440251,0.24420061125306883,0,0.6521739130434783,1.0,0.09090909090909091,1.0,0.0
21/10/2004,01.00.00,3.3,0.46087580760947594,0.11346316680779,0.2393700787401575,0.42269736842105265,0.2378886478669559,0.09741634900465904,0.26666666666666666,0.545863309352518,0.4641460234680574,0.4989247311827957,0.7685534591194968,0.7879653289242948,1,0.043478260869565216,0.5,0.8181818181818182,0.0,0.0
10/11/2004,00.00.00,0.8,0.13208901651112706,0.11346316680779,0.03622047244094488,0.12609649122807018,0.1301518438177874,0.3566285472257518,0.3242424242424242,0.21942446043165467,0.1408083441981747,0.1806451612903226,0.9345911949685535,0.31409389247958314,0,0.0,0.3333333333333333,0.9090909090909091,0.0,0.0
